GNIS_NAME,LENGTHKM,PERMANENT_IDENTIFIER,REACHCODE,COMID,closest_node_m,snap_m,snap_xy,closest,name_check,name_check_txt,input_id
,2.206550526,15466741,4.15031E+12,15466741,434.4375995,434.4375995,POINT (-74.52177712782083 44.31507919805317),5,0,"no name match, water name and or gnis name not provided",FW08NY014
Cole Brook,8.983870814,3246788,2.02001E+12,3246788,1133.764653,8.884284587,POINT (-74.43892360458955 42.50119922360618),1,0,nan,FW08NY015
,2.801601029,3246772,2.02001E+12,3246772,984.2311648,951.9650694,POINT (-74.43453502245761 42.50901361582509),2,0,"no name match, water name and or gnis name not provided",FW08NY015
,1.590669825,3246778,2.02001E+12,3246778,984.2311648,984.2311648,POINT (-74.43227919532382 42.50847240027737),3,0,"no name match, water name and or gnis name not provided",FW08NY015
,2.130785675,3246770,2.02001E+12,3246770,984.2311648,1020.832511,POINT (-74.43456812789393 42.50968360105779),4,0,"no name match, water name and or gnis name not provided",FW08NY015
Sprout Creek,13.06919997,6212224,2.02001E+12,6212224,1432.428121,3.630188503,POINT (-73.84558471283459 41.56289745303808),1,0,nan,FW08NY016
Fishkill Creek,3.558751788,6212220,2.02001E+12,6212220,1442.451508,1060.355613,POINT (-73.83870699611843 41.55488000178365),2,0,nan,FW08NY016
,3.0260447,6212230,2.02001E+12,6212230,1966.951315,1226.362788,POINT (-73.85670572872377 41.55561646871497),3,0,"no name match, water name and or gnis name not provided",FW08NY016
Fishkill Creek,0.140622515,6212226,2.02001E+12,6212226,1432.428121,1432.428121,POINT (-73.84260759599795 41.55026006824493),4,0,nan,FW08NY016
Fishkill Creek,0.075813697,6212222,2.02001E+12,6212222,1432.428121,1432.428121,POINT (-73.84260759599795 41.55026006824493),5,0,nan,FW08NY016
,1.275328542,21977225,4.1402E+12,21977225,586.2610548,0.00014854,POINT (-76.619181118177 42.93689352988282),1,0,"no name match, water name and or gnis name not provided",FW08NY018
Crane Brook,6.480256093,21977335,4.1402E+12,21977335,638.1380438,254.4184372,POINT (-76.61657779137472 42.93816200024075),2,0.285714286,nan,FW08NY018
Crane Brook,4.143323821,21977151,4.1402E+12,21977151,638.1380438,638.1380438,POINT (-76.61878772497526 42.94259826619663),3,0.285714286,nan,FW08NY018
,1.485781374,21977161,4.1402E+12,21977161,952.7995302,952.7995302,POINT (-76.62887299070933 42.94170606669756),4,0,"no name match, water name and or gnis name not provided",FW08NY018
,2.134747682,21974619,4.1402E+12,21974619,629.6423128,0.000659514,POINT (-76.68105170548729 43.00710741508809),1,0,"no name match, water name and or gnis name not provided",FW08NY022
,0.474174928,21974633,4.1402E+12,21974633,629.6423128,629.6423128,POINT (-76.68124339207955 43.00147273323467),2,0,"no name match, water name and or gnis name not provided",FW08NY022
,0.237745224,21974631,4.1402E+12,21974631,629.6423128,629.6423128,POINT (-76.68124339207955 43.00147273323467),3,0,"no name match, water name and or gnis name not provided",FW08NY022
,0.610208243,904140124,4.1402E+12,904140124,nan,803.5556508,POINT (-76.68316592461576 43.0000798000047),4,0,"no name match, water name and or gnis name not provided",FW08NY022
Little Trout River,2.035776534,15449228,4.15031E+12,15449228,815.8592007,0.000293906,POINT (-74.12799793324007 44.86450287869741),1,0,nan,FW08NY024
,3.282075088,15449160,4.15031E+12,15449160,815.8592007,695.1748451,POINT (-74.12801832865681 44.87074813099479),2,0,"no name match, water name and or gnis name not provided",FW08NY024
Little Trout River,1.645414541,15449158,4.15031E+12,15449158,815.8592007,815.8592007,POINT (-74.13084832802394 44.87154839729053),3,0,nan,FW08NY024
,2.179982754,15449306,4.15031E+12,15449306,1030.175603,1030.175603,POINT (-74.11891872942284 44.8578523968887),4,0,"no name match, water name and or gnis name not provided",FW08NY024
Little Trout River,0.212050824,15449230,4.15031E+12,15449230,1030.175603,1030.175603,POINT (-74.11891872942284 44.8578523968887),5,0,nan,FW08NY024
,2.694177551,22306077,2.02E+12,22306077,165.7590671,0.000276664,POINT (-74.55172987868211 43.53157897228949),1,0,"no name match, water name and or gnis name not provided",FW08NY041
Jessup River,0.043310485,22306081,2.02E+12,22306081,165.7590671,165.7590671,POINT (-74.55070152824237 43.53029213279028),2,0,nan,FW08NY041
Jessup River,0.84308455,22306079,2.02E+12,22306079,165.7590671,165.7590671,POINT (-74.55070152824237 43.53029213279028),3,0,nan,FW08NY041
,2.508084369,22306085,2.02E+12,22306085,192.3351388,190.6758768,POINT (-74.55151269654614 43.52987779474169),4,0,"no name match, water name and or gnis name not provided",FW08NY041
,3.676243746,22746575,2.02E+12,22746575,497.5509683,8.79E-06,POINT (-75.47830276996794 42.90824198992486),1,0,"no name match, water name and or gnis name not provided",FW08NY065
,2.307104622,22746577,2.02E+12,22746577,767.0289258,767.0289258,POINT (-75.4875337932897 42.90678459990751),2,0,"no name match, water name and or gnis name not provided",FW08NY065
,1.952527897,21974543,4.1402E+12,21974543,389.4459317,9.16E-05,POINT (-76.85463863887473 43.01566804007488),1,0,"no name match, water name and or gnis name not provided",FW08NY066
,2.494655687,21974533,4.1402E+12,21974533,355.5053302,203.0088808,POINT (-76.85706919071505 43.01610519980795),2,0,"no name match, water name and or gnis name not provided",FW08NY066
,1.891420028,21974563,4.1402E+12,21974563,919.2063721,436.0440961,POINT (-76.84943399111891 43.01665260008961),3,0,"no name match, water name and or gnis name not provided",FW08NY066
,3.651172559,21974597,4.1402E+12,21974597,1758.502218,629.3804755,POINT (-76.8620247248917 43.01393339968089),4,0,"no name match, water name and or gnis name not provided",FW08NY066
,6.868769103,21979451,4.1402E+12,21979451,1136.168716,6.74E-05,POINT (-76.47440335995012 42.741266089398),1,0,"no name match, water name and or gnis name not provided",FW08NY077
Owasco Inlet,2.933960637,21979455,4.1402E+12,21979455,1773.662431,1106.193765,POINT (-76.46334939194024 42.7470251997633),2,0.266666667,nan,FW08NY077
Mattabesset River,2.501285453,7700796,1.08021E+12,7700796,751.0692267,0.000224186,POINT (-72.74883502131672 41.63414725175115),1,0.1,nan,FW08CT009
Mattabesset River,2.249871912,7700322,1.08021E+12,7700322,751.0692267,751.0692267,POINT (-72.74061853059841 41.63700720169513),2,0.1,nan,FW08CT009
,5.270242259,7700786,1.08021E+12,7700786,751.0692267,751.0692267,POINT (-72.74061853059841 41.63700720169513),3,0,"no name match, water name and or gnis name not provided",FW08CT009
Mattabesset River,0.614865254,7700798,1.08021E+12,7700798,1041.089158,1003.901221,POINT (-72.75591859803319 41.62686226928941),4,0.1,nan,FW08CT009
Logan Brook,6.580354786,1701588,1.02E+12,1701588,458.6758072,88.09053908,POINT (-69.84898360171667 45.94469059510651),1,0.285714286,nan,FW08ME001
,1.03759934,1702650,1.02E+12,1702650,458.6758072,458.6758072,POINT (-69.84793660238208 45.94094152830466),2,0,"no name match, water name and or gnis name not provided",FW08ME001
,2.41904714,1702690,1.02E+12,1702690,1428.030337,1263.108978,POINT (-69.84812066759628 45.93369539585561),3,0,"no name match, water name and or gnis name not provided",FW08ME001
,4.026910077,1702660,1.02E+12,1702660,1428.030337,1428.030337,POINT (-69.84269300185342 45.93275439501943),4,0,"no name match, water name and or gnis name not provided",FW08ME001
Petite Brook,1.152673188,4287419,1.01001E+12,4287419,830.4291434,33.57574429,POINT (-68.90747877876811 47.16961452079561),1,0,FW08ME002,
Petite Brook,0.017765166,4287811,1.01001E+12,4287811,nan,185.629488,POINT (-68.90880440323802 47.17125539272093),2,0,FW08ME002,
Petite Brook,0.115880759,4287809,1.01001E+12,4287809,294.065442,194.8553479,POINT (-68.90886627018536 47.17132759310149),3,0,FW08ME002,
Saint John River,2.260925188,4287813,1.01001E+12,4287813,294.065442,294.065442,POINT (-68.90893780294022 47.1723311937894),4,0.210526316,FW08ME002,
Kennebunk River,12.20435247,5845376,1.06E+12,5845376,1981.273737,5.290320114,POINT (-70.55630065780902 43.43995151254593),1,0.222222222,FW08ME003,
Duck Brook,5.716911283,5844182,1.06E+12,5844182,1827.41523,991.1895887,POINT (-70.54557466657266 43.44425633321145),2,0,FW08ME003,
Orbeton Stream,1.220341826,3323202,1.03E+12,3323202,1190.168075,1164.694748,POINT (-70.39556874145269 44.89864021460956),1,0.235294118,nan,FW08ME004
,0.666724799,3323222,1.03E+12,3323222,1190.168075,1190.168075,POINT (-70.39879386733247 44.89503593095674),2,0,"no name match, water name and or gnis name not provided",FW08ME004
Orbeton Stream,0.629944221,3323220,1.03E+12,3323220,1190.168075,1190.168075,POINT (-70.39879386733247 44.89503593095674),3,0.235294118,nan,FW08ME004
Orbeton Stream,2.997868988,3323244,1.03E+12,3323244,1418.718201,1418.718201,POINT (-70.40226486690021 44.89016539710315),4,0.235294118,nan,FW08ME004
Greenleaf Brook,8.272114044,5194912,1.05E+12,5194912,2990.243176,18.08647773,POINT (-67.86198670073726 45.88452125269942),1,0.222222222,FW08ME006,
Winship Brook,5.548894075,1813,1.02E+12,1813,1591.22256,1046.042383,POINT (-67.8729571975483 45.879328770082),2,0.125,FW08ME006,
Daggett Brook,2.921106466,5194860,1.05E+12,5194860,1345.193189,1345.193189,POINT (-67.84578567184407 45.88922672871625),3,0.125,FW08ME006,
Churchill Camp (historical),4.215511417,1023634,1.03E+12,1023634,143.6887169,96.20379866,POINT (-70.09972880919268 45.69124876611283),1,0.066666667,nan,FW08ME007
Churchill Camp (historical),3.770454841,1023324,1.03E+12,1023324,143.6887169,143.6887169,POINT (-70.10109246858157 45.69074392885837),2,0.066666667,nan,FW08ME007
,4.942229591,1023642,1.03E+12,1023642,143.6887169,143.6887169,POINT (-70.10109246858157 45.69074392885837),3,0,"no name match, water name and or gnis name not provided",FW08ME007
Snare Brook,10.78113131,720058,1.01E+12,720058,1472.148152,32.92207317,POINT (-69.43825089072158 46.43516861751339),1,0.285714286,nan,FW08ME008
,3.03876122,719964,1.01E+12,719964,1472.148152,1076.224123,POINT (-69.42971351724117 46.44321396695901),2,0,"no name match, water name and or gnis name not provided",FW08ME008
Snare Brook,2.432920588,719970,1.01E+12,719970,1472.148152,1472.148152,POINT (-69.4192314026556 46.43329439528641),3,0.285714286,nan,FW08ME008
,3.841922586,816563,1.01001E+12,816563,538.4540079,64.43343244,POINT (-67.79679620516032 46.63811575194209),1,0,"no name match, water name and or gnis name not provided",FW08ME009
Fling Brook,1.390566634,816401,1.01001E+12,816401,538.4540079,538.4540079,POINT (-67.79751020599713 46.64247832789621),2,0.142857143,nan,FW08ME009
,1.187410944,816395,1.01001E+12,816395,538.4540079,538.4540079,POINT (-67.79751020599713 46.64247832789621),3,0,"no name match, water name and or gnis name not provided",FW08ME009
Fling Brook,1.986383678,816411,1.01001E+12,816411,1361.230516,1359.667929,POINT (-67.81384220484233 46.63871719397356),4,0.142857143,nan,FW08ME009
Aegan Brook,2.643387333,4288323,1.01001E+12,4288323,680.1829315,91.70480249,POINT (-69.01557731145597 47.11088861119821),1,0.285714286,nan,FW08ME010
,2.682246588,4288329,1.01001E+12,4288329,680.1829315,680.1829315,POINT (-69.01455287023659 47.10500732702785),2,0,"no name match, water name and or gnis name not provided",FW08ME010
,1.155815392,4288339,1.01001E+12,4288339,680.1829315,680.1829315,POINT (-69.01455287023659 47.10500732702785),3,0,"no name match, water name and or gnis name not provided",FW08ME010
Higgins Stream,7.462890981,3320216,1.03E+12,3320216,1598.950906,29.2442824,POINT (-69.55675709213787 44.98325539633737),1,0.235294118,FW08ME011,
,3.00726112,4289195,1.01001E+12,4289195,1971.570615,0.000320562,POINT (-69.37837946169698 46.97555966264893),1,0,"no name match, water name and or gnis name not provided",FW08ME020
,0.07852528,4289643,1.01001E+12,4289643,1020.459802,973.1202793,POINT (-69.39075626874661 46.97349999390352),2,0,"no name match, water name and or gnis name not provided",FW08ME020
Saint John River,1.855569301,4289641,1.01001E+12,4289641,nan,974.5865205,POINT (-69.39112980324357 46.97557892811496),3,0.210526316,nan,FW08ME020
Saint John River,0.878421236,4289647,1.01001E+12,4289647,1447.174805,1020.459802,POINT (-69.39148640296634 46.9738069268775),4,0.210526316,nan,FW08ME020
White River,6.127487486,16071540,1.01402E+13,16071540,801.6149681,0.619760246,POINT (-102.1639303087876 43.69677801000853),1,0,nan,FW08SD004
,1.058078162,16071518,1.01402E+13,16071518,801.6149681,656.4030956,POINT (-102.1578122864195 43.70068939874793),2,0,"no name match, water name and or gnis name not provided",FW08SD004
White River,0.788572541,16071208,1.01402E+13,16071208,801.6149681,824.3301038,POINT (-102.1567732851333 43.70208379825407),3,0,nan,FW08SD004
,3.46068127,16071198,1.01402E+13,16071198,1499.269121,1237.220747,POINT (-102.1676450192682 43.70754359887469),4,0,"no name match, water name and or gnis name not provided",FW08SD004
Platte Creek,7.925751553,11550378,1.01401E+13,11550378,1945.578343,5.843289414,POINT (-98.87793682377172 43.41349596001),1,0.133333333,nan,FW08SD005
,6.186017145,11550372,1.01401E+13,11550372,1945.578343,1481.561567,POINT (-98.86551129002989 43.42332400004944),2,0,"no name match, water name and or gnis name not provided",FW08SD005
Bear-in-the-Lodge Creek,2.904853204,16074364,1.01402E+13,16074364,451.7138818,13.3577668,POINT (-101.7976485899819 43.52798255138426),1,0.153846154,nan,FW08SD009
Bear-in-the-Lodge Creek,1.453889025,16074298,1.01402E+13,16074298,451.7138818,411.8858885,POINT (-101.8001688393135 43.53105922642479),2,0.153846154,nan,FW08SD009
,3.254195197,16074302,1.01402E+13,16074302,451.7138818,451.7138818,POINT (-101.8020982193761 43.53028613321676),3,0,"no name match, water name and or gnis name not provided",FW08SD009
Bear-in-the-Lodge Creek,4.637894106,16074256,1.01402E+13,16074256,1095.343073,816.4491681,POINT (-101.7970656852277 43.53517413211376),4,0.153846154,nan,FW08SD009
White Shirt Creek,3.598690009,21831213,1.01303E+13,21831213,746.9799857,5.410065813,POINT (-101.2770625361565 45.77105759259193),1,0,nan,FW08SD010
White Shirt Creek,2.276949386,21831133,1.01303E+13,21831133,746.9799857,746.9799857,POINT (-101.2773004861272 45.77778959612285),2,0,nan,FW08SD010
,1.961746215,21831131,1.01303E+13,21831131,746.9799857,746.9799857,POINT (-101.2773004861272 45.77778959612285),3,0,"no name match, water name and or gnis name not provided",FW08SD010
,2.61677332,21832987,1.01303E+13,21832987,1189.282297,802.5209372,POINT (-101.2680126872559 45.76751999472671),4,0,"no name match, water name and or gnis name not provided",FW08SD010
White River,2.795816915,16097365,1.01402E+13,16097365,221.539327,6.259151041,POINT (-102.8174498789022 43.28707867750752),1,0,FW08SD012,
Cedar Bluff Creek,3.051952703,16097373,1.01402E+13,16097373,221.539327,154.9597702,POINT (-102.8178635330583 43.28566624914314),2,0.1,FW08SD012,
White River,1.681892482,16097433,1.01402E+13,16097433,221.539327,221.539327,POINT (-102.8162272171478 43.28525153293839),3,0,FW08SD012,
White River,6.822735143,16099471,1.01402E+13,16099471,1337.193775,625.0565223,POINT (-102.8203302177975 43.28182399972196),4,0,FW08SD012,
Grand River,2.42933392,21831539,1.01303E+13,21831539,1062.761124,5.57613917,POINT (-101.8394551196985 45.68737289408556),1,0.285714286,nan,FW08SD016
,0.837868436,21831515,1.01303E+13,21831515,303.7315715,282.409138,POINT (-101.8418442849764 45.68924179600608),2,0,"no name match, water name and or gnis name not provided",FW08SD016
,3.168955099,21831507,1.01303E+13,21831507,535.6770579,485.8641692,POINT (-101.8360400860637 45.69097712919508),3,0,"no name match, water name and or gnis name not provided",FW08SD016
,0.839943847,21831535,1.01303E+13,21831535,535.6770579,535.6770579,POINT (-101.8334654192175 45.68967392929536),4,0,"no name match, water name and or gnis name not provided",FW08SD016
,2.775102855,11547252,1.01401E+13,11547252,430.9954168,4.81192699,POINT (-99.45186720267061 43.82179484166486),1,0,"no name match, water name and or gnis name not provided",FW08SD020
,5.989291987,11547276,1.01401E+13,11547276,430.9954168,430.9830806,POINT (-99.45645722279259 43.81975799909225),2,0,"no name match, water name and or gnis name not provided",FW08SD020
,12.49251645,11547620,1.01401E+13,11547620,430.9954168,430.9954168,POINT (-99.45690028874843 43.82042093216032),3,0,"no name match, water name and or gnis name not provided",FW08SD020
,10.18458478,11547246,1.01401E+13,11547246,1536.344269,1041.852463,POINT (-99.44554082318628 43.82991933194711),4,0,"no name match, water name and or gnis name not provided",FW08SD020
Whitewood Creek,5.328828477,5458404,1.01202E+13,5458404,2011.021398,4.26426843,POINT (-103.7937447830863 44.28508059682189),1,0,FW08SD021,
,5.931056756,21832875,1.01303E+13,21832875,820.7768242,1.171251953,POINT (-101.0847770823404 45.50982040943332),1,0,"no name match, water name and or gnis name not provided",FW08SD022
,2.611613023,21832877,1.01303E+13,21832877,820.7768242,820.7768242,POINT (-101.0746072867295 45.51164219617769),2,0,"no name match, water name and or gnis name not provided",FW08SD022
,1.602008906,21832825,1.01303E+13,21832825,820.7768242,826.3792681,POINT (-101.0752236195663 45.51299113013437),3,0,"no name match, water name and or gnis name not provided",FW08SD022
High Bank Creek,3.521869349,21832705,1.01303E+13,21832705,1547.865454,1430.301591,POINT (-101.0819452199492 45.52252472924756),4,0.222222222,nan,FW08SD022
Battle Creek,1.675778772,14396444,1.01201E+13,14396444,64.46832045,0.000129006,POINT (-103.0622408014103 43.78581882055685),1,0.133333333,nan,FW08SD025
Battle Creek,0.494717108,14396422,1.01201E+13,14396422,64.46832045,64.46832045,POINT (-103.0625430168133 43.78635433214083),2,0.133333333,nan,FW08SD025
,2.070074004,14396416,1.01201E+13,14396416,64.46832045,64.46832045,POINT (-103.0625430168133 43.78635433214083),3,0,"no name match, water name and or gnis name not provided",FW08SD025
Battle Creek,3.674147048,14396462,1.01201E+13,14396462,287.9442584,287.9442584,POINT (-103.0586622168034 43.78559753204606),4,0.133333333,nan,FW08SD025
Grand River,2.760248713,21831311,1.01303E+13,21831311,688.1823534,0.002831923,POINT (-101.9843775648353 45.72849971352294),1,0.285714286,nan,FW08SD027
Thunder Hawk Creek,2.082977243,21831309,1.01303E+13,21831309,546.1351549,246.1563926,POINT (-101.9824555165908 45.73025885717698),2,0.19047619,nan,FW08SD027
Thunder Hawk Creek,3.08150627,21831261,1.01303E+13,21831261,546.1351549,546.1351549,POINT (-101.98274008637 45.73328059513282),3,0.19047619,nan,FW08SD027
,2.988494487,21832993,1.01303E+13,21832993,546.1351549,546.1351549,POINT (-101.98274008637 45.73328059513282),4,0,"no name match, water name and or gnis name not provided",FW08SD027
South Fork Snake Creek,4.220156607,12556972,1.016E+13,12556972,1538.280725,4.83E-05,POINT (-98.63765863048754 45.0014374402641),1,0.16,FW08SD029,
South Fork Snake Creek,4.768640102,12558998,1.016E+13,12558998,2654.159614,166.5203582,POINT (-98.63813662412028 44.99997972969216),2,0.16,FW08SD029,
South Fork Snake Creek,20.77413124,12556974,1.016E+13,12556974,10018.15076,1377.569017,POINT (-98.65515322432159 45.00150273007862),3,0.16,FW08SD029,
South Fork Snake Creek,4.061762661,12558996,1.016E+13,12558996,2654.159614,1391.667096,POINT (-98.64422302361291 44.98982612991619),4,0.16,FW08SD029,
Oak Creek,3.469291373,14492810,1.01301E+13,14492810,215.9527,0.000809587,POINT (-100.6831274989812 45.76411076274572),1,0.166666667,nan,FW08SD039
Oak Creek,0.41165813,14490584,1.01301E+13,14490584,215.9527,196.4289483,POINT (-100.685331820934 45.76497139605588),2,0.166666667,nan,FW08SD039
,4.20526679,14490582,1.01301E+13,14490582,215.9527,215.9527,POINT (-100.6850384868428 45.76552019490065),3,0,"no name match, water name and or gnis name not provided",FW08SD039
,3.808142394,14491798,1.01301E+13,14491798,478.3042811,478.3042811,POINT (-100.6886966205931 45.76592972879349),4,0,"no name match, water name and or gnis name not provided",FW08SD039
Oak Creek,1.271363167,14490580,1.01301E+13,14490580,478.3042811,478.3042811,POINT (-100.6886966205931 45.76592972879349),5,0.166666667,nan,FW08SD039
Grand River,2.744065431,940130676,1.01303E+13,940130676,572.8923956,0.000600688,POINT (-100.8508300073367 45.65635515164872),1,0.285714286,nan,FW08SD023
,0.055131048,21834023,1.01303E+13,21834023,572.8923956,568.8133756,POINT (-100.8488992209763 45.6612925961014),2,0,"no name match, water name and or gnis name not provided",FW08SD023
Grand River,7.096005284,21834041,1.01303E+13,21834041,572.8923956,572.8923956,POINT (-100.8483354869738 45.66120559616883),3,0.285714286,nan,FW08SD023
,4.242423375,21833757,1.01303E+13,21833757,4018.358559,581.7524976,POINT (-100.8496010879627 45.6615201292414),4,0,"no name match, water name and or gnis name not provided",FW08SD023
Porcupine Creek,6.709185801,16096497,1.01402E+13,16096497,1212.52611,4.029274433,POINT (-102.3896321690716 43.38211873457625),1,0.111111111,nan,FW08SD019
,2.597737619,16096289,1.01402E+13,16096289,1172.731147,1125.097534,POINT (-102.3884834848693 43.39213473168132),2,0,"no name match, water name and or gnis name not provided",FW08SD019
,1.226205357,16096257,1.01402E+13,16096257,1172.731147,1172.731147,POINT (-102.3898940846891 43.39259179913258),3,0,"no name match, water name and or gnis name not provided",FW08SD019
,0.281007141,16096259,1.01402E+13,16096259,1172.731147,1172.731147,POINT (-102.3898940846891 43.39259179913258),4,0,"no name match, water name and or gnis name not provided",FW08SD019
South Fork Grand River,1.911212367,16187292,1.01303E+13,16187292,383.5506233,0.000318729,POINT (-102.3781604991697 45.62072484280881),1,0.16,nan,FW08SD043
,3.229562419,16187282,1.01303E+13,16187282,821.1375199,374.9573149,POINT (-102.3750174177119 45.62327792879316),2,0,"no name match, water name and or gnis name not provided",FW08SD043
South Fork Grand River,0.472827898,16187294,1.01303E+13,16187294,383.5506233,383.5506233,POINT (-102.3735852849686 45.61946159617455),3,0.16,nan,FW08SD043
,1.291933532,16187368,1.01303E+13,16187368,383.5506233,387.517015,POINT (-102.3740412177051 45.61877599601038),4,0,"no name match, water name and or gnis name not provided",FW08SD043
Boxelder Creek,7.625931988,14552817,1.01201E+13,14552817,403.0378301,0.001236039,POINT (-103.2286961844976 44.15643022002464),1,0,nan,FW08SD041
Boxelder Creek,4.950229692,14553219,1.01201E+13,14553219,403.0378301,334.2516002,POINT (-103.2303746841335 44.15368279769654),2,0,nan,FW08SD041
,3.34455028,14552869,1.01201E+13,14552869,403.0378301,403.0378301,POINT (-103.2303734840874 44.15301979799141),3,0,"no name match, water name and or gnis name not provided",FW08SD041
,2.803124812,14552833,1.01201E+13,14552833,1338.123434,1338.123434,POINT (-103.2124326841278 44.15346853112551),4,0,"no name match, water name and or gnis name not provided",FW08SD041
Cheyenne River,4.515617301,14399396,1.01201E+13,14399396,3096.76244,0.000220837,POINT (-102.9969673998107 43.60714589802586),1,0.235294118,nan,FW08SD046
Cheyenne River,0.706217705,14397740,1.01201E+13,14397740,nan,302.6224902,POINT (-103.0004692169456 43.60614979901272),2,0.235294118,nan,FW08SD046
,4.413535607,14396898,1.01201E+13,14396898,4058.814439,677.6570502,POINT (-103.0048354840233 43.6093277992512),3,0,"no name match, water name and or gnis name not provided",FW08SD046
,0.009013722,14397818,1.01201E+13,14397818,813.3301211,805.8766801,POINT (-103.006914884159 43.60804973188787),4,0,"no name match, water name and or gnis name not provided",FW08SD046
North Fork Whetstone River,6.658156861,4084278,7.02E+12,4084278,1237.378911,5.30E-05,POINT (-96.70890654954991 45.35231501035574),1,0.137931034,nan,FW08SD049
North Fork Whetstone River,0.430540691,4084226,7.02E+12,4084226,1237.378911,1219.153773,POINT (-96.71812702669659 45.36114939722151),2,0.137931034,nan,FW08SD049
,2.469015724,4084220,7.02E+12,4084220,1237.378911,1237.378911,POINT (-96.71803002660079 45.3614007957644),3,0,"no name match, water name and or gnis name not provided",FW08SD049
North Fork Whetstone River,2.395845059,4084222,7.02E+12,4084222,1460.285795,1460.285795,POINT (-96.72237429339398 45.36139739589549),4,0.137931034,nan,FW08SD049
,23.00995118,4085576,7.02E+12,4085576,1460.285795,1460.285795,POINT (-96.72237429339398 45.36139739589549),5,0,"no name match, water name and or gnis name not provided",FW08SD049
Elm Creek,0.829710196,5459476,1.01202E+13,5459476,26.86291308,0.001423704,POINT (-102.805083894889 44.39508617775381),1,0,nan,FW08SD052
,0.340704746,5459478,1.01202E+13,5459478,26.86291308,22.54833423,POINT (-102.8051492347239 44.39488926709655),2,0,"no name match, water name and or gnis name not provided",FW08SD052
Elm Creek,0.706770285,5459450,1.01202E+13,5459450,26.86291308,26.86291308,POINT (-102.8053756839794 44.39496439802005),3,0,nan,FW08SD052
Elm Creek,0.261960745,5459486,1.01202E+13,5459486,288.0006666,288.0006666,POINT (-102.804294884675 44.39256353109165),4,0,nan,FW08SD052
Bear-in-the-Lodge Creek,4.665370484,16073476,1.01402E+13,16073476,264.7509399,0.000935867,POINT (-101.8385384973658 43.64222527183065),1,0.153846154,nan,FW08SD054
Bear-in-the-Lodge Creek,8.902893405,16073296,1.01402E+13,16073296,264.7509399,253.9280268,POINT (-101.8410586191946 43.64359879880743),2,0.153846154,nan,FW08SD054
,2.643754342,16073348,1.01402E+13,16073348,264.7509399,263.9911101,POINT (-101.84176051869 43.64269027775416),3,0,"no name match, water name and or gnis name not provided",FW08SD054
,2.314346659,16073474,1.01402E+13,16073474,1585.752948,1450.905376,POINT (-101.8205402861436 43.64114673202327),4,0,"no name match, water name and or gnis name not provided",FW08SD054
Porcupine Creek,2.921534681,16095563,1.01402E+13,16095563,798.8757328,0.001536498,POINT (-102.4814225190828 43.48729997997053),1,0.111111111,nan,FW08SD058
Porcupine Creek,1.445779399,16095473,1.01402E+13,16095473,798.8757328,794.5406429,POINT (-102.4772564852434 43.4937528002987),2,0.111111111,nan,FW08SD058
,2.597996378,16095507,1.01402E+13,16095507,798.8757328,798.8757328,POINT (-102.4771308837298 43.49375293323205),3,0,"no name match, water name and or gnis name not provided",FW08SD058
,5.77696878,16095561,1.01402E+13,16095561,1157.370573,938.4825743,POINT (-102.4724980842536 43.48189220003294),4,0,"no name match, water name and or gnis name not provided",FW08SD058
Cheyenne River,2.381437521,14376633,1.01201E+13,14376633,224.3549884,0.000647436,POINT (-101.9940785984634 44.52040349429198),1,0.235294118,nan,FW08SD063
Cheyenne River,0.962656392,14376515,1.01201E+13,14376515,224.3549884,224.3549884,POINT (-101.9960088187029 44.51893113103225),2,0.235294118,nan,FW08SD063
,0.035160272,14376511,1.01201E+13,14376511,224.3549884,224.3549884,POINT (-101.9960088187029 44.51893113103225),3,0,"no name match, water name and or gnis name not provided",FW08SD063
,0.383948351,14376137,1.01201E+13,14376137,nan,243.7343405,POINT (-101.9964388187537 44.51900213089047),4,0,"no name match, water name and or gnis name not provided",FW08SD063
Cottonwood Creek,2.966015318,21832339,1.01303E+13,21832339,91.52571461,0.002940184,POINT (-101.5487175763694 45.56322752940031),1,0.105263158,nan,FW08SD071
,2.312346275,21832455,1.01303E+13,21832455,91.52571461,91.15005227,POINT (-101.5488562779142 45.5624131003246),2,0,"no name match, water name and or gnis name not provided",FW08SD071
Cottonwood Creek,0.211157503,21832359,1.01303E+13,21832359,91.52571461,91.52571461,POINT (-101.5491598856694 45.56246479620157),3,0.105263158,nan,FW08SD071
Cottonwood Creek,0.498511248,21832381,1.01303E+13,21832381,284.2619946,284.2619946,POINT (-101.5493248857764 45.56070532909611),4,0.105263158,nan,FW08SD071
,3.083433558,21832361,1.01303E+13,21832361,284.2619946,284.2619946,POINT (-101.5493248857764 45.56070532909611),5,0,"no name match, water name and or gnis name not provided",FW08SD071
Medicine Creek,4.351796239,11530735,1.01401E+13,11530735,809.9432722,0.000193419,POINT (-99.81948746156273 43.91601196132306),1,0.117647059,nan,FW08SD061
Medicine Creek,4.108947789,11530729,1.01401E+13,11530729,1162.031038,554.1715158,POINT (-99.82031502221157 43.92094499917583),2,0.117647059,nan,FW08SD061
Medicine Creek,0.813065748,11530737,1.01401E+13,11530737,809.9432722,809.9432722,POINT (-99.82475322209962 43.90981019773822),3,0.117647059,nan,FW08SD061
